Accuracy,BP+FE,CNN,CNN+FE,CNN+FE+HD,Caps+FE+HD,TDACAPS*
1,0.588542,0.344792,0.614583,0.505208,0.203125,0.203125
2,0.647917,0.447917,0.676042,0.6,0.203125,0.203125
3,0.671875,0.489583,0.5875,0.582292,0.203125,0.203125
4,0.678125,0.491667,0.675,0.590625,0.1875,0.1875
5,0.685417,0.533333,0.651042,0.709375,0.1875,0.1875
6,0.682292,0.547917,0.659375,0.60625,0.1875,0.1875
7,0.69375,0.56875,0.726042,0.575,0.203125,0.203125
8,0.68125,0.596875,0.747917,0.782292,0.203125,0.203125
9,0.68125,0.597917,0.666667,0.781667,0.1875,0.203125
10,0.69375,0.609375,0.670833,0.767708,0.1875,0.1875
11,0.698958,0.626042,0.661458,0.503125,0.205208,0.203125
12,0.698958,0.597917,0.647917,0.586458,0.1875,0.203125
13,0.711458,0.622917,0.717708,0.765625,0.203125,0.189583
14,0.702083,0.611458,0.677083,0.761458,0.263542,0.294792
15,0.703125,0.628125,0.647917,0.66875,0.263542,0.373125
16,0.708333,0.629167,0.638542,0.627083,0.319792,0.40625
17,0.70625,0.635417,0.673958,0.64375,0.359375,0.433333
18,0.715625,0.653125,0.71875,0.586458,0.389583,0.389583
19,0.711458,0.65625,0.657292,0.765,0.36875,0.570833
20,0.7125,0.64375,0.651042,0.694792,0.526042,0.63125
21,0.708333,0.636458,0.684375,0.777083,0.466667,0.589583
22,0.710417,0.6375,0.653125,0.685417,0.520833,0.621875
23,0.709375,0.653125,0.675,0.721875,0.517708,0.747917
24,0.707292,0.6375,0.676042,0.727083,0.669792,0.726042
25,0.703125,0.65625,0.655208,0.767708,0.554167,0.690625
26,0.708333,0.65,0.651042,0.786458,0.602083,0.73125
27,0.713542,0.659375,0.629167,0.753125,0.686458,0.734375
28,0.720417,0.645833,0.60625,0.770625,0.753125,0.653125
29,0.709375,0.657292,0.648958,0.704167,0.633333,0.6625
30,0.715625,0.644792,0.688542,0.716667,0.559375,0.705208
31,0.720417,0.659375,0.690625,0.771875,0.716667,0.814583
32,0.725625,0.657292,0.669792,0.725,0.597917,0.734375
33,0.716667,0.660417,0.682292,0.748958,0.745833,0.770833
34,0.7325,0.647917,0.676042,0.740625,0.517708,0.750625
35,0.735183,0.664583,0.736042,0.663542,0.651042,0.78125
36,0.744083,0.653125,0.722917,0.654167,0.617708,0.848125
37,0.742083,0.664583,0.7625,0.607292,0.695833,0.796875
38,0.753125,0.661458,0.757917,0.771042,0.809375,0.823333
39,0.753125,0.657292,0.754583,0.728125,0.791667,0.836875
40,0.753125,0.6594,0.763525,0.786558,0.80625,0.844792
