Loss,BP+FE,CNN,CNN+FE,CNN+FE+HD,Caps+FE+HD,TDACAPS*
1,0.270197958,0.8,0.234520127,0.593123939,0.432586157,0.430777904
2,0.155105571,0.103988105,0.078257245,0.229368555,0.42784989,0.428039575
3,0.12144466,0.056654325,0.054666136,0.178916281,0.369218714,0.427756259
4,0.100789997,0.02749265,0.04334229,0.144512976,0.287865677,0.355603083
5,0.086863547,0.013183928,0.037128483,0.122123514,0.255758944,0.301171935
6,0.077081921,0.006806251,0.03342317,0.104225553,0.232101736,0.25112562
7,0.069918835,0.003860087,0.030976569,0.091716632,0.210375414,0.203559664
8,0.064634577,0.00261641,0.029747442,0.082993229,0.196463135,0.180079823
9,0.060622606,0.002001582,0.028913041,0.077356449,0.186733714,0.161918573
10,0.057531953,0.00154505,0.028123104,0.073457711,0.18070828,0.148597929
11,0.055118426,0.001224674,0.027842266,0.070429159,0.174037596,0.132038301
12,0.053224824,0.001074109,0.027509438,0.069208791,0.16818546,0.115547776
13,0.051709338,0.000960992,0.027458173,0.067390329,0.164030236,0.099047214
14,0.05050561,0.000952017,0.027262854,0.066880691,0.157978864,0.087078347
15,0.049531679,0.000881653,0.026870668,0.06582311,0.149638789,0.078991872
16,0.04874907,0.000844694,0.027085994,0.06531519,0.141821844,0.079266623
17,0.048100385,0.000797807,0.026639216,0.064913222,0.13568457,0.066971833
18,0.047603502,0.000805057,0.026847637,0.065098697,0.130918624,0.065055494
19,0.047185026,0.000858744,0.027170579,0.065092187,0.126884877,0.072154741
20,0.046846982,0.000818659,0.026612688,0.064649856,0.120630436,0.057432718
21,0.046554809,0.000813354,0.026898512,0.06498235,0.116517888,0.054663043
22,0.046346963,0.000807667,0.026771379,0.064850078,0.109077521,0.052302323
23,0.046162677,0.000769795,0.02687279,0.065148633,0.105190572,0.052276953
24,0.045993202,0.000822261,0.026653143,0.064573244,0.100435962,0.049927474
25,0.045874168,0.00080753,0.026437507,0.064864327,0.099122873,0.045355089
26,0.045750428,0.000829321,0.026428454,0.064816458,0.098748744,0.044804009
27,0.045681868,0.000793601,0.026430415,0.065041841,0.086078347,0.053872833
28,0.045605412,0.000833357,0.026555617,0.064768883,0.079991872,0.040981349
29,0.045544104,0.00080465,0.026563415,0.064900507,0.078266623,0.04529464
30,0.045513744,0.000816197,0.02657801,0.064980058,0.078266623,0.037697554
